City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,zaqatala,41.6336,46.6433,0.26,75,75,3.09,AZ,1675646231
154,iqaluit,63.7506,-68.5145,-27.95,68,100,4.02,CA,1675645960
155,tura,25.5198,90.2201,13.2,53,0,1.62,IN,1675646020
156,ribeira grande,38.5167,-28.7,16.54,91,100,6.71,PT,1675645952
157,altay,47.8667,88.1167,-7.89,69,100,2.57,CN,1675645961
158,margate,51.3813,1.3862,5.39,89,63,1.34,GB,1675646234
159,talnakh,69.4865,88.3972,-15.44,98,99,1.09,RU,1675646214
160,half moon bay,37.4636,-122.4286,11.04,85,0,7.72,US,1675646131
161,mweka,-4.85,21.5667,18.61,94,51,0.77,CD,1675646235
162,xichang,27.8964,102.2634,7.39,57,0,0.28,CN,1675646236
163,sept-iles,50.2001,-66.3821,-16.0,83,100,2.06,CA,1675646237
164,luderitz,-26.6481,15.1594,16.48,94,92,3.02,NA,1675645976
165,cienfuegos,22.1461,-80.4356,24.08,88,2,1.54,CU,1675646097
166,clyde river,70.4692,-68.5914,-29.87,69,0,3.6,CA,1675646234
167,sitka,57.0531,-135.33,5.94,61,100,10.29,US,1675646238
168,talgar,43.3027,77.2395,-3.91,93,75,3.0,KZ,1675646240
169,mahebourg,-20.4081,57.7,26.25,88,40,1.54,MU,1675646235
170,barstow,34.8986,-117.0228,12.55,36,8,10.56,US,1675646240
171,kahului,20.8947,-156.47,27.01,72,20,9.77,US,1675646013
172,yemtsa,63.0734,40.3329,-16.8,96,40,2.61,RU,1675646241
173,havre-saint-pierre,50.2334,-63.5986,-11.0,85,100,1.54,CA,1675646242
174,rapid valley,44.0625,-103.1463,6.46,62,0,7.6,US,1675646243
175,tual,-5.6667,132.75,26.8,82,100,8.51,ID,1675646244
176,fortuna,40.5982,-124.1573,9.25,92,98,0.45,US,1675646103
177,zhezkazgan,47.8043,67.7144,-4.01,93,100,3.0,KZ,1675646247
178,aykhal,66.0,111.5,-33.46,99,100,1.21,RU,1675646248
179,kabalo,-6.05,26.9167,19.49,97,98,1.18,CD,1675646248
180,qiyang,26.5911,111.8474,9.88,88,100,1.03,CN,1675646249
181,sorland,67.667,12.6934,5.92,97,100,13.28,NO,1675646249
182,hami,42.8,93.45,-1.97,42,84,1.65,CN,1675646141
183,sebring,27.4956,-81.4409,20.5,88,0,2.06,US,1675646248
184,hilo,19.7297,-155.09,25.71,88,75,2.68,US,1675645975
185,wadern,49.5333,6.8833,4.96,96,97,3.25,DE,1675646250
186,escanaba,45.7453,-87.0646,-4.83,75,100,2.57,US,1675646250
187,puerto ayora,-0.7393,-90.3518,26.42,93,37,2.68,EC,1675646161
188,san patricio,28.017,-97.5169,20.1,85,0,4.27,US,1675646248
189,onega,63.9061,38.1404,-13.21,98,95,2.13,RU,1675646251
190,gari,59.4307,62.3497,-16.08,98,100,0.49,RU,1675646251
191,iskateley,67.6803,53.1512,-18.81,98,46,3.51,RU,1675646251
192,laguna,38.421,-121.4238,13.03,65,0,4.12,US,1675646117
193,zhanaozen,43.3,52.8,-0.5,74,97,5.34,KZ,1675646252
194,eyl,7.9803,49.8164,22.65,81,95,5.8,SO,1675646252
195,poum,-20.2333,164.0167,28.96,79,100,7.86,NC,1675645943
196,becerril,9.7041,-73.2793,28.36,56,4,3.96,CO,1675646170
197,biltine,14.5333,20.9167,21.67,12,100,4.01,TD,1675646209
198,isla vista,34.4133,-119.861,16.08,62,0,8.75,US,1675646253
199,upernavik,72.7868,-56.1549,-25.15,94,100,3.04,GL,1675646062
200,los llanos de aridane,28.6585,-17.9182,13.86,71,20,3.6,ES,1675646115
201,port alfred,-33.5906,26.891,22.88,94,78,4.71,ZA,1675646031
202,flinders,-34.5833,150.8552,28.99,66,0,2.68,AU,1675646254
203,makakilo city,21.3469,-158.0858,27.18,63,20,6.69,US,1675645980
204,camacha,33.0833,-16.3333,13.68,67,20,4.63,PT,1675646195
205,dossor,47.5272,52.9811,-6.54,74,17,2.55,KZ,1675646255
206,mar del plata,-38.0023,-57.5575,25.46,51,100,5.63,AR,1675646043
207,bhinmal,25.0,72.25,16.82,65,0,2.86,IN,1675646255
208,takayama,36.1333,137.25,3.11,61,28,0.64,JP,1675646256
209,esperance,-33.8667,121.9,25.14,45,79,8.74,AU,1675646148
210,hobyo,5.3505,48.5268,24.51,77,95,6.8,SO,1675646090
211,bintulu,3.1667,113.0333,25.85,85,79,1.04,MY,1675646140
212,teshie,5.5836,-0.1072,26.31,73,20,2.57,GH,1675646256
213,kulhudhuffushi,6.6221,73.07,26.57,75,100,1.17,MV,1675645957
214,kawhia,-38.0651,174.8183,21.09,81,48,4.39,NZ,1675646257
215,sao filipe,14.8961,-24.4956,20.86,62,24,6.9,CV,1675646010
216,northam,51.0333,-4.2167,3.12,82,23,2.98,GB,1675646258
217,butembo,0.15,29.2833,18.07,46,100,0.75,CD,1675646258
218,dunedin,-45.8742,170.5036,21.56,57,69,4.02,NZ,1675646157
219,goundam,16.4145,-3.6708,20.13,16,99,4.22,ML,1675646259
220,coquimbo,-29.9533,-71.3436,18.85,82,0,2.57,CL,1675645825
221,altamira,-3.2033,-52.2064,22.38,96,6,1.05,BR,1675646259
222,muscatine,41.4667,-91.1335,1.16,71,0,2.57,US,1675646260
223,bilma,18.6853,12.9164,17.32,10,16,5.85,NE,1675646260
224,provideniya,64.3833,-173.3,-13.94,72,100,8.05,RU,1675646133
225,xuddur,4.1213,43.8894,19.69,82,38,6.58,SO,1675646261
226,belaya gora,68.5333,146.4167,-40.61,100,100,1.09,RU,1675646261
227,kazachinskoye,57.6953,93.2761,-25.13,100,100,1.04,RU,1675646262
228,samarai,-10.6167,150.6667,27.88,79,99,5.25,PG,1675646036
229,high level,58.5169,-117.136,-10.94,79,75,2.57,CA,1675646262
230,kodiak,57.79,-152.4072,2.73,93,100,3.6,US,1675646130
231,moyo,3.6609,31.7247,21.13,36,45,0.34,UG,1675646263
232,asau,46.4333,26.4,-4.29,93,100,3.75,RO,1675646058
233,camapua,-19.5314,-54.0439,22.4,91,88,0.81,BR,1675646264
234,sovetskiy,61.3614,63.5842,-16.49,98,100,1.34,RU,1675646264
235,mulege,26.8833,-111.9833,18.54,39,99,0.6,MX,1675646264
236,mwandiga,-4.83,29.6581,20.95,84,100,1.43,TZ,1675646265
237,zwedru,6.0667,-8.1281,22.96,93,100,1.4,LR,1675646265
238,cananeia,-25.0147,-47.9267,24.98,81,9,1.99,BR,1675646266
239,mezhdurechensk,53.6942,88.0603,-21.98,99,8,1.54,RU,1675646266
240,bethanien,-26.502,17.1583,25.09,37,100,2.44,NA,1675646267
241,skibbereen,51.55,-9.2667,10.06,96,31,4.37,IE,1675646267
242,maniitsoq,65.4167,-52.9,-14.5,83,100,6.23,GL,1675646268
243,yulara,-25.2406,130.9889,28.69,13,0,5.65,AU,1675646269
244,copiapo,-27.3667,-70.3333,17.83,54,74,1.44,CL,1675646222
245,sur,22.5667,59.5289,21.26,69,12,2.94,OM,1675646269
246,daru,-9.0763,143.2092,25.26,91,100,2.53,PG,1675646203
247,port lincoln,-34.7333,135.8667,19.69,67,4,6.08,AU,1675646070
248,alice springs,-23.7,133.8833,28.75,16,2,6.17,AU,1675646270
249,mount gambier,-37.8333,140.7667,19.8,53,19,2.98,AU,1675646228
250,paranaiba,-19.6772,-51.1908,23.25,88,100,1.24,BR,1675646278
251,west memphis,35.1465,-90.1845,11.17,81,0,0.0,US,1675646279
252,comodoro rivadavia,-45.8667,-67.5,16.92,72,0,1.54,AR,1675646273
253,yar-sale,66.8333,70.8333,-27.85,100,87,0.65,RU,1675646286
254,salobrena,36.7428,-3.5872,11.67,78,0,1.46,ES,1675646290
255,visby,57.6409,18.296,0.12,93,100,5.66,SE,1675646293
